83
-73|4|1|0|20
-50|4|-29|0|20
-34|3|-73|0|20
-31|3|-114|0|20
-46|3|-169|0|20
-80|3|-209|0|20
-128|3|-230|0|20
-197|3|-234|0|20
-265|2|-219|0|20
-320|1|-183|0|20
-358|0|-128|0|20
-380|-1|-65|0|20
-406|-2|7|0|20
-445|-1|75|0|20
-486|0|136|0|20
-517|1|202|0|20
-514|3|266|0|20
-465|3|318|0|20
-407|3|337|0|20
-353|3|332|0|20
-307|3|311|3|20
-280|3|297|4|20
-247|3|287|4|20
-228|3|298|4|20
-201|3|325|0|20
-167|3|360|0|20
-129|3|381|0|20
-70|3|376|0|20
-27|3|363|3|20
36|3|356|4|20
75|3|385|3|20
120|3|416|0|20
173|3|434|0|20
226|3|428|0|20
255|3|385|3|20
269|3|348|4|20
296|3|310|4|20
341|3|304|3|20
400|3|300|0|20
452|3|271|0|20
464|3|211|0|20
451|3|151|0|20
420|3|111|3|20
362|3|104|0|20
305|3|117|0|20
244|3|131|0|20
174|3|146|0|20
106|3|163|0|20
36|3|171|0|20
-29|3|160|0|20
-49|3|101|0|20
-26|3|37|0|20
6|3|-17|0|20
51|3|-57|0|20
106|3|-85|0|20
166|3|-82|0|20
226|3|-61|0|20
285|3|-32|0|20
341|3|-6|0|20
392|3|12|0|20
451|3|5|0|20
479|3|-42|0|20
469|3|-109|0|20
420|3|-154|0|20
350|3|-188|0|20
256|3|-227|0|20
182|3|-254|0|20
112|3|-276|0|20
43|3|-297|0|20
-31|3|-319|0|20
-106|3|-341|0|20
-194|4|-356|0|20
-267|6|-351|0|20
-337|8|-315|0|20
-381|9|-261|0|20
-413|9|-200|0|20
-428|8|-145|0|20
-430|7|-76|0|20
-408|7|-20|0|20
-349|6|22|0|20
-276|5|45|0|20
-210|4|49|0|20
-143|4|40|2|20
